parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 10407 0019,both,DAYTON CITY OF,929 931 BROADWAY ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002130.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74290546553218,-84.21474761477737
R72 10410 0010,both,DAYTON CITY OF,W STEWART ST,DAYTON,300,"Industrial, vacant land",I,0000.00000,000000001380.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.74152562218843,-84.21489375855944
R72 10410 0011,both,DAYTON CITY OF,W STEWART ST,DAYTON,300,"Industrial, vacant land",I,0000.00000,000000000770.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.74161859784782,-84.21471198949139
R72 10410 0014,both,DAYTON CITY OF,W STEWART ST,DAYTON,300,"Industrial, vacant land",I,0000.00000,000000016930.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.74045800025959,-84.21366494116288
R72 10410 0017,both,DAYTON CITY OF,S BROADWAY ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001330.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.741656416663176,-84.2153993267153
R72 10410 0018,both,DAYTON CITY OF,BROADWAY ST,DAYTON,300,"Industrial, vacant land",I,0000.00000,000000008560.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.74037987359763,-84.21508968586654
R72 10411 0001,both,DAYTON CITY OF,1218 S BROADWAY ST,DAYTON,300,"Industrial, vacant land",I,0000.22000,000000000000.00,000000000000.00,N,,,Y,39113-003500-2,39.73965122381973,-84.21447395989352
R72 10412 0017,both,CITY OF DAYTON,1235 DIETZEN AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002140.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.739255590695926,-84.21460450781659
R72 10412 0034,both,CITY OF DAYTON,1244 DIETZEN AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002050.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.73904493771796,-84.21407274774401
R72 10412 0037,both,CITY OF DAYTON,1254 DIETZEN AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002050.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.738772909110246,-84.2141907329132
R72 10412 0038,both,CITY OF DAYTON,1260 DIETZEN AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002050.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.7386602932559,-84.21419151772923
